0.86    11.0     1.22    10.0    1.56    10.0    1.64    11.0
0.92    10.5     1.30    9.50    1.64    9.50    1.72    10.5
1.00    10.0     1.36    9.00    1.74    9.00    1.82    10.0
1.06    9.50     1.46    8.50    1.84    8.50    1.92    9.50
1.12    9.00     1.56    8.00    1.96    8.00    2.02    9.00
1.20    8.50     1.66    7.50    2.08    7.50    2.14    8.50
1.28    8.00     1.78    7.00    2.24    7.00    2.28    8.00
1.38    7.50     1.92    6.50    2.42    6.50    2.44    7.50
1.48    7.00     2.08    6.00    2.60    6.00    2.62    7.00
1.60    6.50     2.28    5.50    2.86    5.50    2.82    6.50
