#\ ZeroAdjust = 0.005
#\ ZeroAdjustSig = 0.00005
#\ WaveLength = 405
#Voltage, Current, Current Sigma
#! V[f,0]/  I[f,1]/ dI[f,2]/
3.29    -0.280   0.0005
2.00    -0.271   0.0005
1.51    -0.226   0.0005
1.26    -0.104   0.0005
1.13    0.077  0.0005
1.07    0.224  0.0005
1.02    0.381  0.0005
0.98    0.528  0.0005
0.85    0.321  0.0005
0.70    3.920  0.0005
0.59    6.256  0.0005
0.45    11.111 0.0005
0.35    15.663 0.0005
0.25    18.471 0.0005
0.20    18.471 0.0005
0.15    18.564 0.0005
