#\ ZeroAdjust = 0.002
#\ ZeroAdjustSig = 0.00005
#\ WaveLength = 546
#Voltage, Current, Current Sigma
#! V[f,0]/  I[f,1]/ dI[f,2]/
3.29    -0.132  0.0005
1.76    -0.129  0.0005
2.15    -0.131  0.0005
1.20    -0.126  0.0005
0.90    -0.117  0.0005
0.75    -0.094  0.0005
0.68    -0.044  0.0005
0.63    0.033   0.0005
0.56    0.231   0.0005
0.51    0.577   0.0005
0.43    1.497   0.0005
0.36    4.220   0.0005
0.29    6.636   0.0005
0.23    8.379   0.0005
0.17    10.61   0.0005
0.10    13.03   0.0005
0.04    14.66   0.0005
0.01    15.77   0.0005
