#\ ZeroAdjust = 0.005
#\ ZeroAdjustSig = 0.00005
#\ WaveLength = 365
#Voltage, Current, Current Sigma
#! V[f,0]/  I[f,1]/ dI[f,2]/
3.29    -0.480   0.0005
2.79    -0.487   0.0005
1.89    -0.462   0.0005
0.93    0.553    0.0005
0.82    1.167    0.0005
0.70    2.159    0.0005
0.55    4.653    0.0005
0.65    2.880    0.0005
0.45    7.915    0.0005
0.35    12.281   0.0005
0.20    14.909   0.0005
0.21    17.640   0.0005
0.15    18.418   0.0005
0.10    18.463   0.0005
0.05    18.498   0.0005
