#\ ZeroAdjust = 0.005
#\ ZeroAdjustSig = 0.00005
#\ WaveLength = 436
#Voltage, Current, Current Sigma
#! V[f,0]/  I[f,1]/ dI[f,2]/
3.29    -0.452   0.0005
2.79    -0.452   0.0005
2.29    -0.447   0.0005
1.79    -0.441   0.0005
1.29    -0.361   0.0005
1.09    -0.163   0.0005
1.19    -0.299   0.0005
1.04    -0.053   0.0005
0.99    0.113    0.0005
0.94    0.325    0.0005
0.89    0.613    0.0005
0.80    1.495   0.0005
0.70    3.003   0.0005
0.50    9.496   0.0005
0.20    18.544  0.0005
0.10    18.606  0.0005
0.05    18.591  0.0005
